comp_name,smiles,charge,multiplicity
azo_76ce751ae5,COc1cc(Br)c(/N=N/c2ccc(Br)cc2)c(I)c1,0,1
azo_a6d268151d,O=[N+]([O-])c1cc2c(cc1/N=N/c1ccccc1)C(C(F)(F)F)=CC2,0,1
azo_f0b8d3a54c,O=[N+]([O-])c1cc2c(c(I)c1/N=N/c1ccccc1)C(I)=CC2,0,1
azo_355472a9f8,NC(=O)c1cc2oc(Br)cc2c(C(N)=O)c1/N=N/c1ccccc1,0,1
azo_b7e8dd0560,O=S(=O)(O)c1ccc(/N=N/c2ccc3cc(-c4ccccc4)ccc3c2)c(C(F)(F)F)c1,0,1
azo_743bbfdac2,Fc1cc2[nH]c(C(F)(F)F)cc2c(F)c1/N=N/c1ccccc1,0,1
azo_9004c3d8e6,NCc1cc(/N=N/c2ccccc2)cc(-c2ccccc2)c1,0,1
azo_19db7c2788,CC(C)(C)c1cccc(I)c1/N=N/c1ccccc1,0,1
azo_36ed1accbb,Cc1cc2oc(O)c(O)c2cc1/N=N/c1ccccc1,0,1
azo_d1a52dbae0,NCc1ccc(N)c2cc(/N=N/c3cc(F)cc(Cl)c3)ccc12,0,1
azo_917d0f6d27,Nc1ccc2c(Cl)c(/N=N/c3ccc(C(F)(F)F)cc3F)ccc2c1,0,1
azo_0a211d7d8e,COc1ccc2c(C(C)(C)C)c(/N=N/c3ccc(Br)cc3)c(C(F)(F)F)cc2c1,0,1
azo_6c23c74937,N#Cc1ccccc1N=Nc1ccc2n[nH]cc2c1,0,1
azo_fe1926620b,Cc1ccc(/N=N/c2c(C(C)C)cc(S(=O)(=O)O)cc2C(C)(C)C)cc1,0,1
azo_dc7db24b11,N#Cc1c(/N=N/c2ccccc2)ccc2[nH]c(F)c(C(=O)O)c12,0,1
azo_d60f9c81a4,FC(F)(F)c1cc(Cl)cc(C(F)(F)F)c1/N=N/c1ccc2ccccc2c1,0,1
azo_96e32e264a,COc1ccc2cc(/N=N/c3cccc(C(F)(F)F)c3)ccc2c1,0,1
azo_20a8d89fcb,CC1=C(CN)c2cc(/N=N/c3ccccc3)c(-c3ccccc3)cc2C1,0,1
azo_49f3784b53,Fc1ccccc1/N=N/c1cc2ccccc2cc1Cl,0,1
azo_67315f466c,NCc1ccc(O)c2cc(/N=N/c3cccc(Br)c3)ccc12,0,1
azo_8824e40dc0,O=[N+]([O-])c1cc(F)cc(N=Nc2ccc3sccc3c2)c1,0,1
azo_0a32491252,O=S(=O)(O)c1cc(Br)c(/N=N/c2ccc3cc(O)ccc3c2)c(Br)c1,0,1
azo_1e947cc8df,NCc1ccc(/N=N/c2c(F)cc([N+](=O)[O-])cc2Cl)cc1,0,1
azo_9081aa8092,Nc1ccc(/N=N/c2c(F)cc(C=O)cc2F)cc1,0,1
azo_d78313d5c2,COc1ccc(N)c2cc(/N=N/c3cc(C(=O)O)cc(C(F)(F)F)c3)ccc12,0,1
azo_6c2b3eb92c,O=C(O)c1c(F)oc2ccc(/N=N/c3ccccc3)c(S(=O)(=O)O)c12,0,1
azo_e17fdc70ec,Brc1ccc(/N=N/c2cc3ccc(-c4ccccc4)cc3cc2Br)cc1,0,1
azo_8b2860f451,Cc1ccc(C)c2cc(/N=N/c3cccc([N+](=O)[O-])c3)ccc12,0,1
azo_3871146880,Nc1ccc2cc(/N=N/c3c(F)cc(C(=O)O)cc3Cl)ccc2c1,0,1
azo_3f80bbc9df,COc1ccc(-c2ccc(/N=N/c3ccc(C(F)(F)F)cc3)cc2)s1,0,1
azo_7d0364cb0f,FC1=Cc2cc(/N=N/c3ccccc3)c(I)cc2C1,0,1
azo_ba987d3541,Oc1ccc2cc(/N=N/c3ccc(C(F)(F)F)cc3Cl)ccc2c1,0,1
azo_138ac2b3f3,Nc1csc2cc(O)c(/N=N/c3ccccc3)cc12,0,1
azo_f6a8c3064c,Nc1cccc2ccc(/N=N/c3cc(Cl)cc([N+](=O)[O-])c3)cc12,0,1
azo_be17c1b9f9,Cc1c(/N=N/c2ccccc2)c(CN)cc2[nH]cc(N)c12,0,1
azo_f7b0f3ad4e,O=S(=O)(O)c1c(/N=N/c2ccccc2)ccc2sc(Cl)cc12,0,1
azo_1f9b28b6c0,N#Cc1cc2sc(Cl)cc2cc1/N=N/c1ccccc1,0,1
azo_785603736f,Cc1ccc2cc(/N=N/c3c(F)cc(Br)cc3I)ccc2c1,0,1
azo_33fcf3f9bc,O=S(=O)(O)c1cc(F)cc(N=Nc2cnoc2)c1,0,1
azo_2c55d732ca,Fc1cc(Br)cc(Br)c1/N=N/c1ccc2ccccc2c1,0,1
azo_28225cf4b3,Nc1ccc(/N=N/c2c(Br)cc(I)cc2C(F)(F)F)cc1,0,1
azo_7ae3657b49,O=Cc1ccc(/N=N/c2cc3ccc(-c4ccccc4)cc3cc2Cl)cc1,0,1
azo_eee4fabc9e,CC(C)c1cc(C=O)cc(F)c1/N=N/c1ccc2cc(N)ccc2c1,0,1
azo_a1dc29e1b1,FC(F)(F)c1cc2cc(-c3ccccc3)ccc2cc1/N=N/c1ccc(Cl)cc1I,0,1
azo_5674eb361a,COc1ccc(/N=N/c2ccc(C(F)(F)F)cc2C(C)(C)C)c(C(C)(C)C)c1,0,1
azo_445997b99b,FC(F)(F)c1cc(Cl)cc(N=Nc2cnoc2)c1,0,1
azo_dce5dabbec,O=S(=O)(O)c1c(/N=N/c2ccccc2)ccc2oc(F)c(I)c12,0,1
azo_c16396bac4,Cc1cccc2cc(/N=N/c3ccc(C=O)cc3)ccc12,0,1
azo_f630c39c57,O=[N+]([O-])c1cc(I)ccc1/N=N/c1ccc2occc2c1,0,1
azo_93529f6dfd,O=[N+]([O-])c1cc2scc(C(F)(F)F)c2c(Cl)c1/N=N/c1ccccc1,0,1
azo_960aa777d5,FC(F)(F)c1ccc(/N=N/c2c(I)cccc2C(F)(F)F)cc1,0,1
azo_4b0dacb503,NCc1ccc(/N=N/c2ccc(Cl)cc2F)c(C(F)(F)F)c1,0,1
azo_5834f2ab67,Nc1cc(F)c(/N=N/c2ccc(C(F)(F)F)cc2)c(I)c1,0,1
azo_ee182c7a34,NCc1ccc(/N=N/c2c(Br)cc([N+](=O)[O-])cc2I)cc1,0,1
azo_7972b44b85,COc1c(/N=N/c2ccccc2)c(O)cc2occc12,0,1
azo_aef0a4e0a8,O=Cc1c(/N=N/c2ccccc2)ccc2oc(C(F)(F)F)c(C=O)c12,0,1
azo_fafbcefa11,O=C(O)c1cc(I)c(/N=N/c2ccc(-c3ccccc3)cc2)c(I)c1,0,1
azo_682d9e1871,CC1=C(C)c2cc(/N=N/c3ccccc3)c(CN)cc2C1,0,1
azo_bb55bdebd8,COc1ccc2cc(/N=N/c3ccc(C#N)cc3Br)c(C(C)(C)C)cc2c1,0,1
azo_eafa05dcbe,N#Cc1ccc(/N=N/c2cc3ccc(O)cc3cc2C(F)(F)F)cc1,0,1
azo_04c6ad42f7,Cc1ccc(/N=N/c2c(Br)cc(C(F)(F)F)cc2C(C)(C)C)cc1,0,1
azo_049feb2f1d,FC(F)(F)c1cccc(I)c1N=Nc1ccncc1,0,1
azo_f42880ac96,Nc1cccc2cc(/N=N/c3cccc(Cl)c3)ccc12,0,1
azo_1c990a3b47,O=C(O)c1cc(F)cc(N=Nc2ccc3sccc3c2)c1,0,1
azo_586b0738c1,Cc1cccc(CN)c1/N=N/c1ccc2sccc2c1,0,1
azo_b71e7d17be,COc1ccc(N=Nc2cc(-c3ccccc3)cc(-c3ccccc3)c2)s1,0,1
azo_7ba0a0e9ad,Cc1ccc(C)c2cc(/N=N/c3cc(Cl)cc(C#N)c3)ccc12,0,1
azo_befa4058bd,O=[N+]([O-])C1=C(I)Cc2ccc(/N=N/c3ccccc3)c([N+](=O)[O-])c21,0,1
azo_9605980662,Fc1ccccc1/N=N/c1ccc(I)cc1F,0,1
azo_f1f7937f9c,CC(C)c1c(/N=N/c2ccc(Br)cc2Br)ccc2cc(CN)ccc12,0,1
azo_178b65c034,Cc1ccc(/N=N/c2c(F)cc(I)cc2C(C)(C)C)cc1,0,1
azo_e333f5dd28,Cc1ccc(/N=N/c2c(C(C)C)cc(S(=O)(=O)O)cc2C(C)C)cc1,0,1
azo_4852d36722,N#Cc1cc(Br)cc(/N=N/c2cccc(-c3ccccc3)c2)c1,0,1
azo_34a6ae2688,O=Cc1c(/N=N/c2ccccc2)ccc2sc(C(F)(F)F)c(Br)c12,0,1
azo_261c5a4fbf,O=[N+]([O-])c1ccc(/N=N/c2cc3ccc(-c4ccccc4)cc3cc2C(F)(F)F)c(I)c1,0,1
azo_bfe0a078b9,Clc1c[nH]c2cc(Br)c(/N=N/c3ccccc3)c(Cl)c12,0,1
azo_0e64aa0749,COc1ccc2c(C(C)C)c(/N=N/c3ccc([N+](=O)[O-])cc3)c(Br)cc2c1,0,1
azo_a335e2d766,Ic1cc2cc(/N=N/c3ccccc3)c(I)cc2s1,0,1
azo_c70706443a,NCc1ccc2cc(/N=N/c3ccc(C=O)cc3Cl)c(Cl)cc2c1,0,1
azo_7e3d48adcc,Cc1ccc(/N=N/c2c(Br)cc(S(=O)(=O)O)cc2Br)cc1,0,1
azo_6ee95b5289,O=C(O)c1cccc(N=Nc2cn[nH]c2)c1,0,1
azo_fbc70cdbd5,O=Cc1cccc(C=O)c1N=Nc1cc[nH]c1,0,1
azo_deac7fdf8a,CC(C)c1cc2ccccc2c(C(C)C)c1/N=N/c1ccc(C(=O)O)cc1,0,1
azo_fe57c27a0d,NC(=O)c1cc(/N=N/c2ccc3c(-c4ccccc4)ccc(N)c3c2)cc(C(=O)O)c1,0,1
azo_7c830a362f,COc1cc(F)c(/N=N/c2ccccc2)c(C(F)(F)F)c1,0,1
azo_2fe0ad487f,Cc1ccc2cc(/N=N/c3ccc([N+](=O)[O-])cc3Cl)c(Cl)cc2c1,0,1
azo_5908db0ac7,NCc1ccc2c(Br)c(/N=N/c3ccc(C(F)(F)F)cc3Br)ccc2c1,0,1
azo_f770626e2a,N#Cc1cc2sc(Br)c(C(=O)O)c2cc1/N=N/c1ccccc1,0,1
